p1_id,p2_id,p1_wins,elo_diff,surface_elo_diff,age_diff,height_diff,recent_win_rate_diff,h2h_winrate_diff,is_clay,is_grass,is_hard,is_indoor,best_of_5,round_code,tourney_level_code,tourney_id,tourney_name,tourney_date,surface,round
N771,GC88,1,23.51643922741664,23.51643922741664,-2.0809999999999995,8.0,0.11999999999999994,0.0,0,0,1,0,0,5,2,2023-301,Auckland,20230109,Hard,QF
B0CD,HB64,1,-0.0004936613638619747,-0.0004936613638619747,-4.0,2.0,0.22465116279069763,0.0,0,0,1,0,0,5,2,2023-301,Auckland,20230109,Hard,QF
G628,GB88,1,10.7737241436148,10.7737241436148,4.4709999999999965,3.0,-0.18,0.0,0,0,1,0,0,5,2,2023-301,Auckland,20230109,Hard,QF
LB66,DB63,1,-10.7570982408688,-10.7570982408688,3.0249999999999986,-8.0,-0.21272727272727274,0.0,0,0,1,0,0,5,2,2023-301,Auckland,20230109,Hard,QF
N771,B0CD,1,22.333975362112824,22.333975362112824,5.177,-5.0,-0.024651162790697678,0.0,0,0,1,0,0,6,2,2023-301,Auckland,20230109,Hard,SF
G628,LB66,1,-0.7577197892658205,-0.7577197892658205,5.93,3.0,0.05272727272727276,0.0,0,0,1,0,0,6,2,2023-301,Auckland,20230109,Hard,SF
G628,N771,1,-33.09519460049819,-33.09519460049819,9.18,-5.0,-0.29999999999999993,0.0,0,0,1,0,0,7,2,2023-301,Auckland,20230109,Hard,F
KF17,M0FH,1,0.0,0.0,2.863000000000003,-3.0,-0.12714285714285717,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
Y268,RH24,1,-0.4143005863770668,-0.4143005863770668,0.5609999999999999,-3.0,-0.07999999999999996,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
MK66,E687,1,10.77232727623391,10.77232727623391,-4.897999999999996,3.0,0.0,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
HH06,RC91,1,23.558136290793527,23.558136290793527,-0.9230000000000018,0.0,-0.20750000000000002,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
D0CO,SU87,1,12.0,12.0,-6.617000000000001,2.0,0.3,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
PL56,O483,1,12.0,12.0,-2.9540000000000006,2.0,0.26,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
DH50,N0AE,1,0.0,0.0,2.1630000000000003,-8.0,0.07999999999999996,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
MH30,R772,1,23.572445719324378,23.572445719324378,-1.4069999999999965,-5.0,0.2,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
H756,BM95,1,-35.240925520910196,-35.240925520910196,9.177,8.0,-0.08666666666666667,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
KI95,E831,1,12.0,12.0,-4.643999999999998,-5.0,0.46,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
KB95,EA24,1,23.15814513294731,23.15814513294731,6.163,-18.0,-0.008387096774193581,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
KD46,P09Z,1,-12.0,-12.0,3.317999999999998,-3.0,0.03999999999999998,0.0,0,0,1,0,0,3,2,2023-8998,Adelaide-2,20230109,Hard,R32
KF17,CD85,1,0.0,0.0,-6.392999999999997,-8.0,-0.016233766233766267,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
Y268,MK66,1,-11.613746747151026,-11.613746747151026,-3.400000000000002,7.0,0.06,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
KE29,HH06,1,-22.345720623463194,-22.345720623463194,0.0940000000000012,2.0,0.2875,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
D0CO,PL56,1,0.0,0.0,-4.599,8.0,0.09999999999999998,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
DH50,MH30,1,0.8129164729277818,0.8129164729277818,-9.974000000000004,-3.0,0.12,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
BD06,H756,1,-13.213021298409558,-13.213021298409558,-1.024000000000001,-8.0,0.14666666666666667,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
KI95,KB95,1,-22.77377415796036,-22.77377415796036,-6.283999999999999,5.0,0.008387096774193581,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
KD46,RE44,1,24.414300586377067,24.414300586377067,1.5279999999999987,5.0,-0.09999999999999998,0.0,0,0,1,0,0,4,2,2023-8998,Adelaide-2,20230109,Hard,R16
